player	format_time	date	console
ClintStevens	4:22:37	12/21/2016	JP N64
ClintStevens	4:24:21	09/03/2016	JP N64
ClintStevens	4:26:21	01/11/2016	JP N64
ClintStevens	4:28:10	11/28/2015	JP N64
ClintStevens	4:29:45	11/27/2015	JP N64
ClintStevens	4:30:15	11/13/2015	JP N64
ClintStevens	4:30:16	11/11/2015	JP N64
ClintStevens	4:32:38	11/08/2015	JP N64
ClintStevens	4:33:24	10/31/2015	JP N64
ClintStevens	4:33:53	10/27/2015	JP N64
ClintStevens	4:34:18	10/23/2015	JP N64
ClintStevens	4:35:16	10/21/2015	JP N64
ClintStevens	4:36:50	10/15/2015	JP N64
ClintStevens	4:38:20	10/08/2015	JP N64
ClintStevens	4:38:54	09/30/2015	JP N64
ClintStevens	4:42:16	09/21/2015	JP N64
ClintStevens	4:44:18	09/19/2015	JP N64
ClintStevens	4:48:13	09/05/2015	JP N64
ClintStevens	4:50:54	08/08/2015	JP N64
ClintStevens	4:55:15	7/21/2015	JP N64
ClintStevens	4:58:57	7/15/2015	JP N64
ClintStevens	5:05:40	6/21/2015	JP N64
ClintStevens	5:11:44	5/29/2015	JP N64
ClintStevens	5:27:27	5/28/2015	JP N64