format_time	player	date	version	note	other_note
0:17:13	TorjeAGC	12/25/2016	Wii VC (J)		
0:17:15	skater82297	12/22/2016	Wii VC (J)		
0:17:17	TorjeAGC	11/29/2016	Wii VC (J)		
0:17:18	skater82297	11/26/2016	Wii VC (J)		
0:17:22	skater82297	11/22/2016	Wii VC (J)		
0:17:24	Jodenstone	11/15/2016	Wii VC (J)		Lower 17:24
0:17:24	skater82297	10/20/2016	Wii VC (J)		
0:17:26	skater82297	10/14/2016	Wii VC (J)		
0:17:29	skater82297	9/18/2016	Wii VC (J)		Lower 17:29
0:17:29	skater82297	9/17/2016	Wii VC (J)		
0:17:31	skater82297	8/22/2016	Wii VC (J)		New GIM method
0:17:42	TorjeAGC	6/11/2016	Wii VC (J)		
0:17:45	skater82297	7/10/2015	Wii VC (J)		
0:17:47	skater82297	5/7/2015	Wii VC (J)		
0:17:55	Jodenstone	3/16/2015	Wii VC (J)		
0:18:03	skater82297	3/13/2015	Wii VC (J)		
0:18:05	Jodenstone	3/10/2015	Wii VC (J)	Get Item Manipulation	First record with GIM
0:18:07	Jodenstone	1/1/2015	iQue Player		Tied record on Wii VC (J) with GIM on 3/5/2015:  https://www.youtube.com/watch?v=Titem5NxQ58
0:18:10	Jodenstone	12/15/2014	iQue Player		(Technically higher decimal)
0:18:10	Cosmo	7/20/2014	iQue Player		
0:18:29	Cosmo	7/16/2014	iQue Player		
0:18:32	Cosmo	4/26/2014	iQue Player		
0:18:40	Cosmo	4/19/2014	iQue Player		
0:18:51	Cosmo	3/24/2014	iQue Player		
0:18:56	Cosmo	3/17/2014	iQue Player		
0:19:00	skater82297	2/19/2014	Wii VC (J)		
0:19:05	skater82297	2/18/2014	Wii VC (J)		
0:19:05	Pydoyks	12/3/2013	Wii VC (J)		
0:19:11	Pydoyks	11/29/2013	Wii VC (J)		
0:19:15	Cosmo	8/22/2013	iQue Player		
0:19:20	Pydoyks	7/4/2013	Wii VC (J)		
0:19:22	Pydoyks	7/3/2013	Wii VC (J)		
0:19:43	theMakaron	6/28/2013	Emulator (J 1.2)		Project 64 1.7
0:19:44	Pydoyks	6/27/2013	Wii VC (J)		
0:19:53	Pydoyks	6/26/2013	Wii VC (J)		
0:19:59	Pydoyks	6/25/2013	Wii VC (J)		
0:20:35	theMakaron	6/24/2013	Emulator (J 1.0)	Void Warp	Project 64 1.7  First run with void warp
0:21:06	Pydoyks	6/19/2013	Wii VC (J)		
0:21:06	theMakaron	6/17/2013	Emulator (J 1.0)		Project 64 1.7
0:21:07	Pydoyks	6/7/2013	Wii VC (J)		
0:21:18	Pydoyks	12/5/2012	Wii VC (J)		
0:21:24	Pydoyks	12/4/2012	Wii VC (J)		
0:21:26	Pydoyks	11/28/2012	Wii VC (J)		
0:21:27	Pydoyks	11/26/2012	Wii VC (J)		
0:21:28	Pydoyks	11/1/2012	Wii VC (J)		
0:21:28	theMakaron	10/16/2012	Emulator (J 1.0)		Project 64 1.7
0:21:33	theMakaron	10/8/2012	Emulator (J 1.0)		Project 64 1.7
0:21:35	Pydoyks	7/2/2012	Wii VC (J)		
0:21:39	Pydoyks	6/12/2012	Wii VC (J)		
0:21:44	Pydoyks	6/8/2012	Wii VC (J)		
0:21:45	ZFG	5/7/2012	Wii VC (J)		
0:21:56	ZFG	4/26/2012	Wii VC (J)		
0:21:59	ZFG	4/25/2012	Wii VC (J)		
0:22:09	Cosmo	4/20/2012	Wii VC (J)		
0:22:32	Cosmo	4/16/2012	Wii VC (J)		
0:22:42	ZFG	4/15/2012	Wii VC (J)		
0:22:54	Cosmo	4/15/2012	Wii VC (J)		
0:23:06	sva	4/15/2012	Wii VC (J)		
0:23:29	ZFG	4/14/2012	Wii VC (J)		
0:25:15	sva	4/14/2012	Wii VC (J)		Streamed on Stickam
0:25:32	ZFG	4/13/2012	Wii VC (J)		
0:34:59	ZFG	4/13/2012	Wii VC (J)	Deku Tree Wrong Warp	Start of Ganondoor Era
0:46:52	ZFG	4/11/2012	Wii VC (J)		End of Ganonless Era
0:46:53	ZFG	3/20/2012	Wii VC (J)		
0:47:25	ZFG	3/1/2012	Wii VC (J)		
0:48:02	ZFG	2/25/2012	Wii VC (J)		
0:49:22	Cosmo	2/24/2012	Wii VC (J)		
0:50:26	Cosmo	2/24/2012	Wii VC (J)		
0:51:37	ZFG	2/22/2012	Wii VC (J)		
0:53:18	ZFG	2/20/2012	Wii VC (J)		
0:54:00	ZFG	2/20/2012	Wii VC (J)	Fire Temple Wrong Warp	Start of Ganonless Era
0:54:02	Zaccio	2/8/2012	Wii VC (J)		End of RBA Era
0:54:52	ZFG	2/3/2012	Wii VC (J)		
0:55:31	ZFG	1/12/2012	Wii VC (J)		
0:55:36	Zaccio	10/23/2011	Wii VC (J)		
0:59:39	maxx	9/19/2011	Wii VC (J)		
0:59:41	sva	7/5/2011	Wii VC (J)		
1:01:18	sva	6/28/2011	Wii VC (J)		
1:05:36	ZFG	6/16/2011	Wii VC (U)		
1:09:05	Cosmo	6/15/2011	Wii VC (U)		http://speedrunslive.com/races/result/#!/4172
1:11:03	dada	6/23/2010	Nintendo 64 (J 1.0)		
1:14:07	Runnerguy2489	2/9/2010	Nintendo 64 (U 1.0)		http://bombch.us/sIU