player	format_time	date
Behemoth	1:14:37.00	3/3/2017
Behemoth	1:14:49.00	2/22/2017
Behemoth	1:14:52.00	12/21/2016
zoast	1:15:20.00	11/29/2016
zoast	1:15:27.00	10/25/2016
zoast	1:15:45.00	10/11/2016
zoast	1:15:51.00	10/2/2016
zoast	1:15:52.00	9/24/2016
zoast	1:16:18.00	1/17/2016
zoast	1:16:21.00	1/15/2016
zoast	1:16:33.00	1/2/2016
zoast	1:16:39.00	12/26/2015
zoast	1:16:47.00	12/18/2015
zoast	1:17:07.00	11/27/2014
zoast	1:17:15.00	10/19/2014
zoast	1:17:26.00	10/7/2014
Kottpower	1:17:31.00	8/14/2014
Kottpower	1:17:41.00	8/10/2014
Kottpower	1:17:44.00	8/1/2014
Kottpower	1:17:47.00	4/19/2014
Kottpower	1:17:59.00	3/15/2014
zoast	1:17:59.00	10/20/2013
zoast	1:18:30.00	9/25/2013
zoast	1:18:58.00	9/24/2013
zoast	1:19:22.00	9/14/2013
zoast	1:19:23.00	6/23/2013
zoast	1:20:20.00	5/14/2013
zoast	1:20:27.00	5/7/2013
Epicly_Epic	1:21:14.00	4/30/2013
zoast	1:21:24.00	1/29/2013
zoast	1:21:58.00	1/25/2013
zoast	1:22:01.00	1/18/2013
zoast	1:22:48.00	12/27/2012
Dessyreqt	1:22:54.00	12/24/2012