player	format_time	date
zoast	1:15:20	11/29/2016
zoast	1:15:27	10/25/2016
zoast	1:15:45	10/11/2016
zoast	1:15:51	10/2/2016
zoast	1:15:52	9/24/2016
zoast	1:16:18	1/17/2016
zoast	1:16:21	1/15/2016
zoast	1:16:33	1/2/2016
zoast	1:16:39	12/26/2015
zoast	1:16:47	12/18/2015
zoast	1:17:07	11/27/2014
zoast	1:17:15	10/19/2014
zoast	1:17:26	10/7/2014
Behemoth	1:14:33	3/16/2017
Behemoth	1:14:37	3/3/2017
Behemoth	1:14:49	2/22/2017
Behemoth	1:14:52	12/21/2016
Behemoth	1:15:27	12/13/2016
Behemoth	1:15:28	12/10/2016
Behemoth	1:15:30	11/13/2016
Behemoth	1:15:35	11/10/2016
Behemoth	1:15:38	10/31/2016
Behemoth	1:15:50	10/25/2016
Behemoth	1:16:04	10/19/2016
Behemoth	1:16:14	10/7/2016
Behemoth	1:16:20	10/6/2016
Behemoth	1:16:22	9/14/2016
Kottpower	1:16:16	1/3/2017
Kottpower	1:16:23	1/1/2017
Kottpower	1:16:29	12/31/2016
Kottpower	1:16:30	12/11/2016
Kottpower	1:16:40	12/9/2016
Kottpower	1:16:56	11/23/2016
Kottpower	1:17:17	11/19/2016
Kottpower	1:17:31	8/14/2014
Kottpower	1:17:41	8/10/2014
Kottpower	1:17:44	8/1/2014
Kottpower	1:17:47	4/19/2014
Kottpower	1:17:59	3/15/2014
oatsngoats	1:16:25	12/30/2016
oatsngoats	1:16:55	12/7/2016
oatsngoats	1:17:12	11/30/2016
oatsngoats	1:17:40	11/18/2016
oatsngoats	1:18:32	11/10/2016
oatsngoats	1:18:59	8/3/2016
oatsngoats	1:19:32	5/6/2016
oatsngoats	1:19:33	9/29/2015
oatsngoats	1:19:54	9/24/2015
oatsngoats	1:20:48	4/9/2015
oatsngoats	1:22:29	1/29/2015
Jack879	1:16:37	1/25/2017
Jack879	1:17:02	1/23/2017
Jack879	1:17:36	1/20/2017
Jack879	1:17:47	12/23/2016
Jack879	1:18:46	12/19/2016
Jack879	1:18:49	12/15/2016
Jack879	1:19:19	12/03/2016
Jack879	1:20:12	12/02/2016
Jack879	1:20:20	11/23/2016
Jack879	1:21:36	11/21/2016
Jack879	1:24:38	11/13/2016
WildAnaconda69	1:17:45	1/2/2017
WildAnaconda69	1:18:06	11/11/2016
WildAnaconda69	1:18:46	9/28/2016
WildAnaconda69	1:18:47	9/19/2016
WildAnaconda69	1:19:20	9/17/2016
WildAnaconda69	1:19:25	9/11/2016
WildAnaconda69	1:19:56	8/30/2016
WildAnaconda69	1:20:02	5/23/2015
WildAnaconda69	1:20:55	4/4/2015
WildAnaconda69	1:21:19	2/27/2015
WildAnaconda69	1:21:26	1/22/2015
WildAnaconda69	1:22:17	12/5/2014
WildAnaconda69	1:23:09	10/5/2014
WildAnaconda69	1:23:56	9/15/2014
WildAnaconda69	1:25:45	8/10/2014
WildAnaconda69	1:26:21	5/14/2014
WildAnaconda69	1:26:26	4/8/2014
WildAnaconda69	1:28:17	3/10/2014
WildAnaconda69	1:29:13	2/14/2014
WildAnaconda69	1:31:45	2/1/2014
WildAnaconda69	1:33:04	1/23/2014
WildAnaconda69	1:36:14	1/16/2014
WildAnaconda69	1:38:03	1/13/2014
WildAnaconda69	1:39:18	1/7/2014
WildAnaconda69	1:40:53	1/7/2014
WildAnaconda69	1:44:04	12/29/2013
WildAnaconda69	1:45:42	12/25/2013
WildAnaconda69	1:48:53	12/18/2013
WildAnaconda69	1:55:13	12/16/2013