time	format_time	date	player	source
28'50"	0:28:50	12/8/2015	lackattack24	speedrun.com
29'04"	0:29:04	12/1/2015	lackattack24	speedrun.com
29'11"	0:29:11	11/21/2015	lackattack24	speedrun.com
29'13"	0:29:13	11/16/2015	lackattack24	speedrun.com
29'19"	0:29:19	10/30/2015	lackattack24	speedrun.com
29'24"	0:29:24	10/19/2015	lackattack24	speedrun.com
29'33"	0:29:33	9/29/2015	lackattack24	speedrun.com
29'36"	0:29:36	9/20/2015	lackattack24	speedrun.com
29'48"	0:29:48	9/14/2015	lackattack24	speedrun.com
29'50"	0:29:50	8/20/2015	lackattack24	speedrun.com
29'56"	0:29:56	3/31/2015	lackattack24	speedrun.com
30'06"	0:30:06	2/27/2015	lackattack24	speedrun.com
30'16"	0:30:16	2/10/2015	darkwing_duck_sda	speedrun.com
30'25"	0:30:25	2/7/2015	lackattack24	speedrun.com
30'37"	0:30:37	8/30/2014	darkwing_duck_sda	speedrun.com
31'39"	0:31:39	03/25/2013	darkwing_duck_sda	https://web.archive.org/web/20141018150250/http://speeddemosarchive.com/Zelda1.html,https://www.youtube.com/watch?v=K27hfpW5onU
32'04"	0:32:04	07/11/2012	darkwing_duck_sda	https://web.archive.org/web/20130530190033/http://speeddemosarchive.com/Zelda1.html,https://www.youtube.com/watch?v=kbM1ep_j10s
34'36"	0:34:36	12/02/2011	darkwing_duck_sda	https://web.archive.org/web/20130102021414/http://speeddemosarchive.com/Zelda1.html,https://www.youtube.com/watch?v=wHaZrYX0kAU